tileswide 30
tileshigh 30
tilewidth 16
tileheight 16

layer 0
4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,21,21,21,21,21,21,21,21,21,21,21,4,0,0,0,3,2,2,2,0,0,2,2,2,1,1,0,0,0,
4,21,21,21,21,21,21,21,21,21,21,21,4,0,0,3,3,3,3,3,0,0,0,0,2,2,1,1,1,0,
4,21,21,21,21,21,21,21,21,21,21,21,4,3,3,0,2,2,3,0,0,3,3,1,3,3,1,1,3,0,
4,21,21,21,21,21,21,21,21,21,21,21,4,0,0,0,0,3,3,0,3,3,0,1,1,3,3,3,0,0,
4,21,21,21,21,21,21,21,21,21,21,21,4,0,0,0,1,0,0,0,3,3,0,0,0,1,3,3,0,0,
4,4,4,4,4,20,4,4,4,4,4,4,4,2,0,1,1,0,0,3,0,0,1,1,1,1,0,0,3,3,
0,0,0,0,1,20,20,0,3,3,0,0,0,2,0,1,0,2,2,3,2,2,2,0,1,1,0,3,3,3,
0,2,2,2,1,20,20,0,0,0,0,0,2,2,2,2,2,2,1,3,2,2,0,0,1,0,3,3,0,3,
0,2,2,0,0,20,20,0,0,0,0,0,2,2,0,0,2,2,2,3,0,0,4,4,4,4,4,4,4,4,
2,2,2,0,0,20,20,1,3,0,0,0,2,0,0,0,2,2,2,3,0,1,4,21,21,21,21,21,21,21,
0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,21,21,21,21,21,21,21,
2,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,4,21,21,21,21,21,21,21,
2,0,0,0,0,1,3,0,2,3,0,2,0,1,2,2,2,0,0,20,20,20,20,21,21,21,21,21,21,21,
2,2,0,0,0,3,1,0,2,0,3,3,2,1,0,0,2,0,3,20,20,1,4,21,21,21,21,21,21,21,
0,2,3,0,0,3,1,0,2,0,0,3,3,3,3,3,3,3,2,20,20,1,4,21,21,21,21,21,21,21,
3,2,3,0,3,0,0,1,2,0,0,0,1,0,2,2,0,0,0,20,20,0,4,4,4,4,4,4,4,4,
3,0,2,0,3,0,0,2,0,0,0,0,2,2,2,0,0,0,0,20,20,0,0,0,0,0,3,0,0,0,
0,0,2,2,3,0,0,2,1,2,2,2,0,1,1,1,0,0,1,20,20,0,0,0,0,0,0,3,0,0,
0,0,2,3,2,2,2,5,6,6,7,7,7,8,8,6,6,6,7,6,8,7,6,6,7,6,6,7,6,9,
0,0,2,0,2,0,2,10,13,13,12,12,12,13,13,13,13,13,13,12,12,13,12,12,13,12,12,12,13,14,
0,0,2,0,2,2,0,10,13,13,13,11,13,12,12,13,13,13,13,13,13,13,11,11,11,11,11,12,13,14,
0,2,3,0,0,0,0,10,13,13,13,11,11,12,12,12,13,13,13,13,13,13,12,11,11,11,12,12,13,14,
0,2,3,0,0,0,0,10,12,13,13,13,13,13,12,13,12,12,13,12,12,13,12,13,12,12,13,13,13,14,
0,2,3,3,3,0,0,15,16,17,16,16,17,17,17,17,17,17,17,17,18,17,18,17,18,17,17,17,17,14,
0,3,0,0,0,3,3,4,4,4,4,4,4,4,4,0,0,3,0,0,3,3,0,0,0,4,4,4,4,4,
3,2,2,2,2,2,0,4,21,21,21,21,21,21,4,2,2,3,3,3,3,0,0,0,0,4,0,0,0,0,
3,0,0,3,3,3,3,21,21,21,21,21,21,21,21,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,
0,0,0,3,0,0,0,4,21,21,21,21,21,21,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,

